timestamp,smoke,voc,co,flame,temp,hum,label,scenario,filename,humid
3303231,96,508,235,0,22.4,56.3,no_fire,closed_room,no_fire__closed_room_20260125_201702_6.csv,
3303331,98,507,236,2,22.41,56.27,no_fire,closed_room,no_fire__closed_room_20260125_201702_6.csv,
3303431,98,507,236,1,22.41,56.28,no_fire,closed_room,no_fire__closed_room_20260125_201702_6.csv,
3303531,96,507,236,1,22.42,56.26,no_fire,closed_room,no_fire__closed_room_20260125_201702_6.csv,
3303631,97,507,234,1,22.41,56.26,no_fire,closed_room,no_fire__closed_room_20260125_201702_6.csv,
3303731,98,507,234,2,22.41,56.32,no_fire,closed_room,no_fire__closed_room_20260125_201702_6.csv,
3303831,96,507,236,2,22.41,56.29,no_fire,closed_room,no_fire__closed_room_20260125_201702_6.csv,
3303931,96,507,236,2,22.41,56.29,no_fire,closed_room,no_fire__closed_room_20260125_201702_6.csv,
3304031,97,507,235,1,22.41,56.3,no_fire,closed_room,no_fire__closed_room_20260125_201702_6.csv,
3304131,98,507,236,2,22.42,56.29,no_fire,closed_room,no_fire__closed_room_20260125_201702_6.csv,
3304231,97,508,235,0,22.42,56.31,no_fire,closed_room,no_fire__closed_room_20260125_201702_6.csv,
3304331,98,507,236,0,22.41,56.3,no_fire,closed_room,no_fire__closed_room_20260125_201702_6.csv,
3304431,98,507,235,0,22.41,56.3,no_fire,closed_room,no_fire__closed_room_20260125_201702_6.csv,
3304531,97,508,235,2,22.4,56.3,no_fire,closed_room,no_fire__closed_room_20260125_201702_6.csv,
3304631,98,507,235,0,22.41,56.3,no_fire,closed_room,no_fire__closed_room_20260125_201702_6.csv,
3304731,97,507,235,2,22.41,56.3,no_fire,closed_room,no_fire__closed_room_20260125_201702_6.csv,
3304831,97,507,236,0,22.41,56.29,no_fire,closed_room,no_fire__closed_room_20260125_201702_6.csv,
3304931,98,507,235,1,22.4,56.31,no_fire,closed_room,no_fire__closed_room_20260125_201702_6.csv,
3305031,97,507,235,0,22.41,56.33,no_fire,closed_room,no_fire__closed_room_20260125_201702_6.csv,
